k_cos,k_mse,k_norm_ratio,kv_joint_consistency,kv_mse,layer,n,v_cos,v_mse,v_norm_ratio
0.7133773099631071,169.56193447113037,0.11746218055486679,0.03319975768272343,84.78339491914085,0,32,0.1484929216094315,0.004855367151321843,1.9330425597727299
0.8155021388083696,4.1210529282689095,0.5289577562361956,0.07844740152359009,2.0635913905352936,1,32,0.159144994802773,0.006129852801677771,1.306678730994463
0.7701984271407127,1.205240249633789,0.7093622516840696,0.1636554051656276,0.6066809158510296,2,32,0.20547885494306684,0.008121582068270072,0.952462499961257
0.8161641750484705,1.345220398157835,0.7680669780820608,0.13938732258975506,0.6785036026849411,3,32,0.2725279121659696,0.011786807212047279,0.7976377587765455
0.8279123939573765,4.098811574280262,0.542390838265419,0.26615958800539374,2.058470970398048,4,32,0.23539949208498,0.018130366515833884,0.6269208267331123
0.7504337634891272,11.815492570400238,0.5051801707595587,0.266516390722245,5.918653106491547,5,32,0.2992657423019409,0.02181364258285612,0.6125354692339897
0.7920614331960678,2.4209764525294304,0.6109263226389885,0.18620681134052575,1.2290084182750434,6,32,0.21582879358902574,0.03704038402065635,0.47489971201866865
0.7681196983903646,1.6125267557799816,0.6832994092255831,0.2403258546255529,0.8392937175231054,7,32,0.3680605133995414,0.06606067926622927,0.49939367454499006
0.7881128396838903,4.183104902505875,0.5220794640481472,0.29490936920046806,2.1479732114821672,8,32,0.31604723911732435,0.11284152045845985,0.4153832532465458
0.7023330684751272,1.6750618889927864,0.7198885604739189,0.18836058513261378,0.9002704032463953,9,32,0.3208827883936465,0.12547891750000417,0.42642591800540686
0.840646093711257,2.187966100871563,0.6484668105840683,0.16898840613430366,1.1950571595225483,10,32,0.32137687411159277,0.20214821817353368,0.387260758318007
0.8145914748311043,2.5030583515763283,0.6322941109538078,0.20707702403888106,1.3036948734661564,11,32,0.3058810653164983,0.10433139535598457,0.4215167174115777
0.7883524838835001,1.772139586508274,0.6997672040015459,0.18516108742915094,0.9460770980222151,12,32,0.3264506468549371,0.12001460953615606,0.42448090948164463
0.6817415691912174,1.9086480401456356,0.6471057832241058,0.27477461751550436,1.0109476203797385,13,32,0.363002959638834,0.11324720061384141,0.49234082642942667
0.8237471543252468,1.7350702658295631,0.7633130457252264,0.21802126010879874,0.9511600893456489,14,32,0.3161696530878544,0.16724991286173463,0.4067225055769086
0.7527466230094433,1.69817603379488,0.7273976504802704,0.24338478595018387,0.9391938259359449,15,32,0.34931760374456644,0.18021161807700992,0.49994940869510174
0.7442138232290745,1.548842679709196,0.7559204362332821,0.1990382072981447,0.9344681529328227,16,32,0.26092803245410323,0.3200936261564493,0.5044282888993621
0.7474593408405781,1.7850253134965897,0.8669838737696409,0.27462227176874876,1.0259999299887568,17,32,0.328154974617064,0.2669745464809239,0.5370324775576591
0.7434946820139885,1.6943381056189537,0.7624220009893179,0.3356441743671894,1.0044754487462342,18,32,0.3116281321272254,0.31461279187351465,0.5993360169231892
0.7755872495472431,1.639594979584217,0.8113681711256504,0.2536876159720123,1.0024941652081907,19,32,0.34935692977160215,0.3653933508321643,0.4099472463130951
0.7150679547339678,1.9807646572589874,0.8446273431181908,0.17474923632107675,1.1658707037568092,20,32,0.34593626763671637,0.35097675025463104,0.46521693281829357
0.7610591761767864,1.7778190858662128,0.8389608263969421,0.19650253001600504,1.1101276553235948,21,32,0.3579526040703058,0.4424362247809768,0.44489526376128197
0.7788207642734051,1.7275020517408848,0.8619531895965338,0.2173964288085699,1.1953822039067745,22,32,0.3365623103454709,0.6632623560726643,0.39678401220589876
0.7807754930108786,2.0484502501785755,0.8517816569656134,0.2039131507044658,1.3597185742110014,23,32,0.3465073788538575,0.6709868982434273,0.4214627705514431
0.7374888546764851,1.7957247085869312,0.8021161928772926,0.2168810841976665,1.4416724890470505,24,32,0.3199424361810088,1.0876202695071697,0.32071269303560257
0.7916698101907969,1.607267864048481,0.8291861657053232,0.2110434144269675,1.2728387927636504,25,32,0.34725519362837076,0.9384097214788198,0.38394286297261715
0.7046938110142946,1.6668427661061287,0.8170474302023649,0.29927962832152843,1.5161464735865593,26,32,0.28846115339547396,1.36545018106699,0.30481495428830385
0.7252720631659031,1.4802321381866932,0.8364683501422405,0.2076545610325411,1.521045845001936,27,32,0.3403828628361225,1.5618595518171787,0.3853028668090701
0.7238620538264513,1.5948651917278767,0.797310022637248,0.13712055690120906,1.738908976316452,28,32,0.34024312905967236,1.8829527609050274,0.3889111904427409
0.6900622472167015,1.8898615278303623,0.7925939299166203,0.18529380578547716,3.1068800818175077,29,32,0.26609334954991937,4.323898635804653,0.24255710653960705
0.7781272623687983,1.600578136742115,0.7996212933212519,0.17967119335662574,3.0845140367746353,30,32,0.33216411154717207,4.568449936807156,0.3282927107065916
0.7234335821121931,1.8091150261461735,0.8505884744226933,0.1595689421519637,4.390387723222375,31,32,0.2937175212427974,6.971660420298576,0.27852223068475723
0.7532731685787439,1.5998984649777412,0.904786130413413,0.12399046716745943,5.803149122744799,32,32,0.325402919203043,10.006399780511856,0.3012747960165143
0.6965622548013926,1.7717033922672272,0.8314756453037262,0.15455827745608985,12.526210948824883,33,32,0.26040335604920983,23.280718505382538,0.189909556414932
0.7680881172418594,1.474381260573864,0.7951846607029438,0.2745214132592082,9.715147878974676,34,32,0.3706442825496197,17.95591449737549,0.2975318543612957
0.8081225454807281,3.086655728518963,0.6368390563875437,0.23988897213712335,6.130833309143782,35,32,0.35573445074260235,9.1750108897686,0.3859360245987773
